firstname,middleInitial,lastname,username,password,ou
Minion056,,Minion56,Minion056,Password1289,"OU=Minions,DC=devinerickson,DC=com"
Minion057,,Minion57,Minion057,Password1290,"OU=Minions,DC=devinerickson,DC=com"
Minion058,,Minion58,Minion058,Password1291,"OU=Minions,DC=devinerickson,DC=com"
Minion059,,Minion59,Minion059,Password1292,"OU=Minions,DC=devinerickson,DC=com"
Minion060,,Minion60,Minion060,Password1293,"OU=Minions,DC=devinerickson,DC=com"
Minion061,,Minion61,Minion061,Password1294,"OU=Minions,DC=devinerickson,DC=com"
Minion062,,Minion62,Minion062,Password1295,"OU=Minions,DC=devinerickson,DC=com"
Minion063,,Minion63,Minion063,Password1296,"OU=Minions,DC=devinerickson,DC=com"
Minion064,,Minion64,Minion064,Password1297,"OU=Minions,DC=devinerickson,DC=com"
Minion065,,Minion65,Minion065,Password1298,"OU=Minions,DC=devinerickson,DC=com"
Minion066,,Minion66,Minion066,Password1299,"OU=Minions,DC=devinerickson,DC=com"
Minion067,,Minion67,Minion067,Password1300,"OU=Minions,DC=devinerickson,DC=com"
Minion068,,Minion68,Minion068,Password1301,"OU=Minions,DC=devinerickson,DC=com"
Minion069,,Minion69,Minion069,Password1302,"OU=Minions,DC=devinerickson,DC=com"
Minion070,,Minion70,Minion070,Password1303,"OU=Minions,DC=devinerickson,DC=com"
Minion071,,Minion71,Minion071,Password1304,"OU=Minions,DC=devinerickson,DC=com"
Minion072,,Minion72,Minion072,Password1305,"OU=Minions,DC=devinerickson,DC=com"
Minion073,,Minion73,Minion073,Password1306,"OU=Minions,DC=devinerickson,DC=com"
Minion074,,Minion74,Minion074,Password1307,"OU=Minions,DC=devinerickson,DC=com"
Minion075,,Minion75,Minion075,Password1308,"OU=Minions,DC=devinerickson,DC=com"
Minion076,,Minion76,Minion076,Password1309,"OU=Minions,DC=devinerickson,DC=com"
Minion077,,Minion77,Minion077,Password1310,"OU=Minions,DC=devinerickson,DC=com"
Minion078,,Minion78,Minion078,Password1311,"OU=Minions,DC=devinerickson,DC=com"
Minion079,,Minion79,Minion079,Password1312,"OU=Minions,DC=devinerickson,DC=com"
Minion080,,Minion80,Minion080,Password1313,"OU=Minions,DC=devinerickson,DC=com"
Minion081,,Minion81,Minion081,Password1314,"OU=Minions,DC=devinerickson,DC=com"
Minion082,,Minion82,Minion082,Password1315,"OU=Minions,DC=devinerickson,DC=com"
Minion083,,Minion83,Minion083,Password1316,"OU=Minions,DC=devinerickson,DC=com"
Minion084,,Minion84,Minion084,Password1317,"OU=Minions,DC=devinerickson,DC=com"
Minion085,,Minion85,Minion085,Password1318,"OU=Minions,DC=devinerickson,DC=com"
Minion086,,Minion86,Minion086,Password1319,"OU=Minions,DC=devinerickson,DC=com"
Minion087,,Minion87,Minion087,Password1320,"OU=Minions,DC=devinerickson,DC=com"
Minion088,,Minion88,Minion088,Password1321,"OU=Minions,DC=devinerickson,DC=com"
Minion089,,Minion89,Minion089,Password1322,"OU=Minions,DC=devinerickson,DC=com"
Minion090,,Minion90,Minion090,Password1323,"OU=Minions,DC=devinerickson,DC=com"
Minion091,,Minion91,Minion091,Password1324,"OU=Minions,DC=devinerickson,DC=com"
Minion092,,Minion92,Minion092,Password1325,"OU=Minions,DC=devinerickson,DC=com"
Minion093,,Minion93,Minion093,Password1326,"OU=Minions,DC=devinerickson,DC=com"
Minion094,,Minion94,Minion094,Password1327,"OU=Minions,DC=devinerickson,DC=com"
Minion095,,Minion95,Minion095,Password1328,"OU=Minions,DC=devinerickson,DC=com"
Minion096,,Minion96,Minion096,Password1329,"OU=Minions,DC=devinerickson,DC=com"
Minion097,,Minion97,Minion097,Password1330,"OU=Minions,DC=devinerickson,DC=com"
Minion098,,Minion98,Minion098,Password1331,"OU=Minions,DC=devinerickson,DC=com"
Minion099,,Minion99,Minion099,Password1332,"OU=Minions,DC=devinerickson,DC=com"
Minion100,,Minion100,Minion100,Password1333,"OU=Minions,DC=devinerickson,DC=com"
